Novak Djokovic,Roger Federer
Novak Djokovic,Grigor Dimitrov
Roger Federer,Milos Raonic
Milos Raonic,Nick Kyrgios
Roger Federer,Stanislas Wawrinka
Novak Djokovic,Marin Cilic
Grigor Dimitrov,Andy Murray
Nick Kyrgios,Rafael Nadal
Milos Raonic,Kei Nishikori
Stanislas Wawrinka,Feliciano Lopez
Roger Federer,Tommy Robredo
Novak Djokovic,Wilfried Tsonga
Grigor Dimitrov,Leonardo Mayer
Andy Murray,Kevin Anderson
Marin Cilic,Jeremy Chardy
Feliciano Lopez,John Isner
Stanislas Wawrinka,Denis Istomin
Kei Nishikori,Simone Bolelli
Nick Kyrgios,Jiri Vesely
Milos Raonic,Lukasz Kubot
Roger Federer,Santiago Giraldo
Rafael Nadal,Mikhail Kukushkin
Marin Cilic,Tomas Berdych
Andy Murray,Roberto Bautista
Grigor Dimitrov,Alexandr Dolgopolov
Jeremy Chardy,Sergiy Stakhovsky
Leonardo Mayer,Andrey Kuznetsov
Novak Djokovic,Gilles Simon
Wilfried Tsonga,Jimmy Wang
Kevin Anderson,Fabio Fognini
Tommy Robredo,Jerzy Janowicz
Santiago Giraldo,Marcel Granollers
Jerzy Janowicz,Lleyton Hewitt
Feliciano Lopez,Ante Pavic
Roger Federer,Gilles Muller
John Isner,Jarkko Nieminen
Denis Istomin,Julian Reister
Stanislas Wawrinka,Hsun Lu
Wilfried Tsonga,Sam Querrey
Tommy Robredo,Adrian Mannarino
Rafael Nadal,Lukas Rosol
Nick Kyrgios,Richard Gasquet
Jiri Vesely,Gael Monfils
Lukasz Kubot,Dusan Lajovic
Simone Bolelli,Philipp Kohlschreiber
Milos Raonic,Jack Sock
Mikhail Kukushkin,Frank Dancevic
Kei Nishikori,Denis Kudla
Novak Djokovic,Radek Stepanek
Jimmy Wang,Mikhail Youzhny
Tomas Berdych,Bernard Tomic
Gilles Simon,Robin Haase
Marin Cilic,Andreas Haider
Andrey Kuznetsov,David Ferrer
Roberto Bautista,Jan Hernych
Leonardo Mayer,Marcos Baghdatis
Fabio Fognini,Tim Puetz
Jeremy Chardy,Marinko Matosevic
Alexandr Dolgopolov,Benjamin Becker
Grigor Dimitrov,Luke Saville
Andy Murray,Blaz Rola
Kevin Anderson,Edouard Roger
Sergiy Stakhovsky,Ernests Gulbis
Novak Djokovic,Wilfried Tsonga
Grigor Dimitrov,Leonardo Mayer
Andy Murray,Kevin Anderson
Tim Puetz,Teymuraz Gabashvili
Jimmy Wang,Alejandro Gonzalez
David Ferrer,Pablo Carreno
Radek Stepanek,Pablo Cuevas
Blaz Rola,Pablo Andujar
Benjamin Becker,Donald Young
Tomas Berdych,Victor Hanescu
Novak Djokovic,Andrey Golubev
Kevin Anderson,Aljaz Bedene
Sergiy Stakhovsky,Carlos Berlocq
Marin Cilic,Henri Mathieu
Marinko Matosevic,Fernando Verdasco
Jeremy Chardy,Daniel Cox
Robin Haase,Vasek Pospisil
Alexandr Dolgopolov,Samuel Groth
Mikhail Youzhny,James Ward
Fabio Fognini,Alex Kuznetsov
Ernests Gulbis,Jurgen Zopp
Luke Saville,Dominic Thiem
Bernard Tomic,Evgeny Donskoy
Grigor Dimitrov,Ryan Harrison
Andy Murray,David Goffin
Edouard Roger,Filippo Volandri
Gilles Simon,Konstantin Kravchuk
Andreas Haider,Kyle Edmund
Marcos Baghdatis,Dustin Brown
Roberto Bautista,Steve Johnson
Andrey Kuznetsov,Daniel Evans
Leonardo Mayer,Andreas Seppi
Jan Hernych,Tobias Kamke
Lukasz Kubot,Lennard Struff
