Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
0,0.5077519379844961,0.2411214953271028,0.326970890129345,535,0.49224806201550386,0.28868360277136257,0.3639343886475395,433
1,0.5077519379844961,0.2411214953271028,0.326970890129345,535,0.49224806201550386,0.28868360277136257,0.3639343886475395,433
2,0.47674418604651164,0.33798882681564246,0.3955509488119917,358,0.4689922480620155,0.3953488372093023,0.4290332672854312,301
3,0.4496124031007752,0.38127090301003347,0.41263105341987016,299,0.4418604651162791,0.44621513944223107,0.4440271257172666,251
4,0.4069767441860465,0.403921568627451,0.405443401000956,255,0.3992248062015504,0.4697674418604651,0.43163288591996346,215
5,0.3643410852713178,0.40707964601769914,0.38452645620275683,226,0.35658914728682173,0.47619047619047616,0.4078014184397163,189
6,0.34108527131782945,0.41545893719806765,0.3746163746163746,207,0.3333333333333333,0.48554913294797686,0.3952941176470588,173
7,0.3178294573643411,0.41450777202072536,0.35978719903471723,193,0.31007751937984496,0.48148148148148145,0.37722161770039897,162
8,0.3062015503875969,0.42777777777777776,0.3569207299184416,180,0.29844961240310075,0.4934210526315789,0.37193276228505184,152
9,0.29844961240310075,0.43352601156069365,0.3535245324599798,173,0.29069767441860467,0.5,0.3676470588235294,146
10,0.2868217054263566,0.44171779141104295,0.3478033814217638,163,0.27906976744186046,0.5035971223021583,0.3591278324070115,139
11,0.27906976744186046,0.45454545454545453,0.345821325648415,154,0.2713178294573643,0.5190839694656488,0.3563674477801901,131
12,0.2751937984496124,0.4726027397260274,0.34784152229480264,146,0.26744186046511625,0.5317460317460317,0.35588914549653583,126
13,0.26744186046511625,0.47183098591549294,0.3413823659725299,142,0.2596899224806202,0.5327868852459017,0.3491821680564464,122
14,0.26356589147286824,0.4852941176470588,0.3416045060130918,136,0.2558139534883721,0.5517241379310345,0.34955312810327704,116
15,0.25193798449612403,0.4846153846153846,0.33152525906735747,130,0.2441860465116279,0.5545454545454546,0.3390682901005823,110
16,0.2441860465116279,0.48031496062992124,0.3237710097308227,127,0.2364341085271318,0.5514018691588785,0.3309577451836866,107
17,0.23255813953488372,0.48360655737704916,0.3140803832845355,122,0.2248062015503876,0.5480769230769231,0.3188349889092488,104
18,0.22093023255813954,0.47863247863247865,0.30231566983946584,117,0.2131782945736434,0.5454545454545454,0.3065490013934046,99
19,0.21705426356589147,0.47413793103448276,0.297785942183119,116,0.20930232558139536,0.5408163265306123,0.30180322682695354,98
20,0.2131782945736434,0.48214285714285715,0.29564005574357954,112,0.2054263565891473,0.5531914893617021,0.29959778236764867,94
21,0.20930232558139536,0.49074074074074076,0.2934481697939096,108,0.20155038759689922,0.5604395604395604,0.29647847959754053,91
22,0.2054263565891473,0.5,0.29120879120879123,104,0.19767441860465115,0.5555555555555556,0.2915951972555746,90
23,0.20155038759689922,0.49514563106796117,0.28648590256022466,103,0.1937984496124031,0.550561797752809,0.2866838286917856,89
24,0.19767441860465115,0.5050505050505051,0.2841383921109811,99,0.18992248062015504,0.5647058823529412,0.2842467822829174,85
25,0.18992248062015504,0.5052631578947369,0.27607253946827864,95,0.1821705426356589,0.5679012345679012,0.2758532695374801,81
26,0.18604651162790697,0.5164835164835165,0.27355401964350673,91,0.17829457364341086,0.569620253164557,0.271582261873524,79
27,0.1821705426356589,0.5168539325842697,0.26939131518285464,89,0.17829457364341086,0.569620253164557,0.271582261873524,79
28,0.17829457364341086,0.5232558139534884,0.26596428112553,86,0.1744186046511628,0.5789473684210527,0.26807473598700243,76
29,0.17829457364341086,0.5294117647058824,0.2667525773195877,85,0.1744186046511628,0.5789473684210527,0.26807473598700243,76
30,0.1744186046511628,0.5238095238095238,0.2616970658207772,84,0.17054263565891473,0.5733333333333334,0.2628873141586772,75
31,0.1744186046511628,0.5238095238095238,0.2616970658207772,84,0.17054263565891473,0.5733333333333334,0.2628873141586772,75
32,0.1744186046511628,0.5238095238095238,0.2616970658207772,84,0.17054263565891473,0.5733333333333334,0.2628873141586772,75
33,0.16666666666666666,0.5121951219512195,0.25149700598802394,82,0.16279069767441862,0.5616438356164384,0.25241864555848725,73
