1: [http://dbpedia.org/resource/Petra_Kvitov%C3%A1]
2: []
3: []
4: []
5: []
6: []
7: []
8: []
9: []
10: []
11: []
12: []
13: []
14: []
15: []
16: []
17: []
18: []
19: []
20: []
21: []
22: []
23: []
24: []
25: []
26: []
27: []
28: []
29: []
30: []
31: []
32: []
33: []
34: []
35: []
36: []
37: []
38: []
39: []
40: []
41: []
42: []
43: []
44: []
45: []
46: []
47: []
48: []
49: []
50: []
51: []
52: []
53: []
54: []
55: []
56: []
57: []
58: []
59: []
60: []
61: []
62: []
63: []
64: []
65: []
66: []
67: []
68: []
69: []
70: []
71: []
72: []
73: []
74: []
75: []
76: []
77: []
78: []
79: []
80: []
81: []
82: []
83: [http://dbpedia.org/resource/Novak_Djokovic]
84: [http://dbpedia.org/resource/Novak_Djokovic]
85: [http://dbpedia.org/resource/Novak_Djokovic]
86: [http://dbpedia.org/resource/Novak_Djokovic]
87: [http://dbpedia.org/resource/Novak_Djokovic]
88: [http://dbpedia.org/resource/Novak_Djokovic]
89: [http://dbpedia.org/resource/Novak_Djokovic]
90: [http://dbpedia.org/resource/Novak_Djokovic]
91: [http://dbpedia.org/resource/Novak_Djokovic]
92: [http://dbpedia.org/resource/Novak_Djokovic]
93: [http://dbpedia.org/resource/Novak_Djokovic]
94: [http://dbpedia.org/resource/Novak_Djokovic]
95: [http://dbpedia.org/resource/Novak_Djokovic]
96: [http://dbpedia.org/resource/Novak_Djokovic]
97: [http://dbpedia.org/resource/Novak_Djokovic]
98: [http://dbpedia.org/resource/Novak_Djokovic]
99: [http://dbpedia.org/resource/Novak_Djokovic]
100: [http://dbpedia.org/resource/Novak_Djokovic]
